,S.NO,Time,PM,Quality
0,1,1,149,2
1,2,1,157,3
2,3,1,157,3
3,4,1,157,3
4,5,1,157,3
5,6,1,157,3
6,7,1,157,3
7,8,1,157,3
8,9,1,157,3
9,10,1,157,3
10,11,1,157,3
11,12,1,157,3
12,13,2,75,1
13,14,2,75,1
14,15,2,75,1
15,16,2,75,1
16,17,2,75,1
17,18,2,75,1
18,19,2,75,1
19,20,2,75,1
20,21,2,75,1
21,22,2,75,1
22,23,2,75,1
23,24,2,75,1
24,25,2,75,1
25,26,2,75,1
26,27,2,75,1
27,28,2,75,1
28,29,1,154,3
29,30,1,154,3
30,31,1,154,3
31,32,1,154,3
32,33,1,154,3
33,34,1,154,3
34,35,1,154,3
35,36,1,154,3
36,37,1,154,3
37,38,1,154,3
38,39,1,154,3
39,40,1,154,3
40,41,2,134,2
41,42,2,134,2
42,43,2,134,2
43,44,2,134,2
44,45,2,134,2
45,46,2,134,2
46,47,2,134,2
47,48,2,134,2
48,49,2,134,2
49,50,2,134,2
50,51,2,134,2
51,52,2,134,2
52,53,2,134,2
53,54,2,134,2
54,55,2,134,2
55,56,2,134,2
56,57,2,134,2
57,58,2,134,2
58,59,2,134,2
59,60,2,134,2
60,61,0,126,2
61,62,0,126,2
62,63,0,126,2
63,64,0,126,2
64,65,0,126,2
65,66,0,126,2
66,67,0,126,2
67,68,0,126,2
68,69,0,126,2
69,70,0,126,2
70,71,0,126,2
71,72,0,126,2
72,73,0,126,2
73,74,0,126,2
74,75,0,126,2
75,76,0,126,2
76,77,2,86,1
77,78,2,86,1
78,79,2,86,1
79,80,2,86,1
80,81,0,86,1
81,82,2,86,1
82,83,2,86,1
83,84,2,86,1
